Proximity,City,Year,Last,First
Coastal,Cleveland,2007,104,302
Inland,Akron,1985,107,302
Coastal,Erie Airport,1985,107,302
Coastal,Buffalo,2007,109,302
Inland,Warren (PA),2007,111,302
Inland,Franklin,2007,111,302
Coastal,North East,2013,111,302
Coastal,Erie Airport,2013,111,302
Coastal,Painesville,1959,112,302
Coastal,Painesville,1965,112,302
Coastal,Sandusky,1978,113,302
Coastal,Painesville,1967,114,302
Coastal,Cleveland,2013,116,302
Coastal,Buffalo,1967,118,302
Coastal,North East,1965,119,302
Coastal,North East,1985,119,302
Coastal,Cleveland,1978,123,302
Coastal,Erie Airport,1983,130,302
Inland,Jamestown,2007,134,302
Coastal,North East,1959,136,302
Inland,Warsaw,2007,138,302
Inland,Warren (OH),1981,140,302
Coastal,Cleveland,1957,105,301
Inland,Akron,2007,106,301
Coastal,North East,2011,108,301
Coastal,Buffalo,1951,111,301
Coastal,Buffalo,2013,111,301
Inland,Warsaw,2011,113,301
Coastal,Erie Airport,1959,113,301
Coastal,Painesville,1988,113,301
Coastal,Erie Airport,1965,115,301
Coastal,Erie Airport,2011,120,301
Inland,Franklin,2011,125,301
Inland,Warren (PA),2005,126,301
Inland,Warren (PA),2014,126,301
Coastal,Erie Airport,1976,129,301
Inland,Franklin,1994,134,301
Inland,Warren (PA),2013,135,301
Inland,Warren (OH),2007,135,301
Inland,Akron,2011,96,300
Coastal,Sandusky,1957,105,300
Coastal,Sandusky,1949,107,300
Coastal,Sandusky,1988,107,300
Coastal,North East,1990,108,300
Coastal,Erie Airport,1990,108,300
Coastal,Cleveland,1990,109,300
Coastal,Painesville,1979,109,300
Coastal,Painesville,1960,110,300
Coastal,Buffalo,2011,112,300
Coastal,Cleveland,1949,115,300
Coastal,Sandusky,1967,115,300
Coastal,Erie Airport,1975,118,300
Coastal,North East,1979,123,300
Inland,Akron,2005,124,300
Inland,Franklin,1979,125,300
Coastal,Cleveland,1979,125,300
Coastal,Painesville,1957,126,300
Inland,Franklin,2014,127,300
Coastal,Sandusky,1966,130,300
Inland,Akron,1966,131,300
Inland,Warren (PA),2016,137,300
Inland,Franklin,2016,137,300
Inland,Warsaw,2016,137,300
Inland,Franklin,1983,139,300
Coastal,Buffalo,1987,94,299
Inland,Akron,2017,98,299
Coastal,Painesville,1987,99,299
Coastal,Sandusky,1960,102,299
Coastal,Painesville,1952,103,299
Coastal,North East,1997,110,299
Inland,Akron,1979,125,299
Coastal,Erie Airport,1987,125,299
Coastal,Buffalo,1950,128,299
Inland,Franklin,1950,129,299
Inland,Akron,1949,131,299
Coastal,Erie Airport,1966,131,299
Coastal,Painesville,1966,131,299
Inland,Franklin,2013,134,299
Coastal,North East,1957,137,299
Inland,Jamestown,1983,138,299
Inland,Jamestown,1984,138,299
Inland,Akron,1955,98,298
Coastal,Buffalo,1955,98,298
Coastal,Sandusky,1955,98,298
Coastal,Cleveland,1965,109,298
Inland,Akron,1960,110,298
Coastal,Erie Airport,1962,110,298
Coastal,Buffalo,1960,110,298
Coastal,Sandusky,2013,110,298
Coastal,Painesville,1962,111,298
Inland,Warren (OH),1998,119,298
Inland,Franklin,1962,130,298
Coastal,North East,1962,130,298
Coastal,Cleveland,1966,130,298
Inland,Franklin,1949,132,298
Coastal,Erie Airport,2002,140,298
Inland,Akron,2013,145,298
Inland,Jamestown,2013,146,298
Inland,Jamestown,1949,150,298
Coastal,Erie Airport,2008,106,297
Coastal,Sandusky,1982,106,297
Coastal,Sandusky,1962,107,297
Inland,Akron,1962,111,297
Inland,Warren (OH),1962,114,297
Coastal,North East,2002,114,297
Coastal,Cleveland,1962,114,297
Coastal,Buffalo,1982,119,297
Coastal,North East,1980,121,297
Coastal,Painesville,1969,121,297
Coastal,North East,1981,123,297
Coastal,Buffalo,2002,124,297
Coastal,Buffalo,1962,130,297
Inland,Warsaw,2013,134,297
Inland,Warren (OH),2013,135,297
Coastal,Erie Airport,1980,137,297
Inland,Titusville,2005,138,297
Coastal,Erie Airport,1981,140,297
Inland,Warren (PA),2002,143,297
Inland,Titusville,2013,147,297
Coastal,North East,1955,98,296
Coastal,Sandusky,1976,104,296
Coastal,Cleveland,1960,110,296
Coastal,Cleveland,1997,110,296
Coastal,Sandusky,1997,110,296
Coastal,Cleveland,1982,113,296
Inland,Franklin,1989,115,296
Inland,Akron,1998,118,296
Inland,Jamestown,1998,119,296
Coastal,North East,1982,119,296
Coastal,Erie Airport,1982,119,296
Coastal,Buffalo,1961,120,296
Coastal,North East,1969,121,296
Inland,Franklin,1960,123,296
Inland,Warren (OH),2011,126,296
Inland,Warren (PA),1989,130,296
Inland,Warren (PA),2010,131,296
Coastal,Sandusky,1969,131,296
Coastal,Cleveland,1976,133,296
Inland,Titusville,2011,136,296
Inland,Titusville,1998,155,296
Coastal,Sandusky,1987,94,295
Coastal,Sandusky,1952,102,295
Coastal,Buffalo,1948,109,295
Coastal,Cleveland,1967,118,295
Coastal,Buffalo,1969,121,295
Coastal,North East,1987,125,295
Inland,Warren (OH),1955,129,295
Inland,Warsaw,2010,131,295
Inland,Warren (PA),1955,138,295
Inland,Franklin,1955,138,295
Coastal,Sandusky,1972,101,294
Coastal,Sandusky,1974,101,294
Coastal,Sandusky,1992,105,294
Inland,Akron,1997,110,294
Coastal,Buffalo,1959,112,294
Coastal,Cleveland,1999,115,294
Coastal,Painesville,1972,119,294
Coastal,Erie Airport,1952,124,294
Coastal,North East,1992,127,294
Coastal,North East,1952,130,294
Inland,Franklin,2010,131,294
Inland,Jamestown,2010,133,294
Coastal,Sandusky,1991,93,293
Coastal,Painesville,1976,103,293
Coastal,Cleveland,1992,104,293
Inland,Akron,2008,106,293
Coastal,Cleveland,2008,106,293
Coastal,Painesville,2008,106,293
Inland,Akron,1990,108,293
Coastal,Buffalo,1990,108,293
Inland,Franklin,1990,110,293
Coastal,North East,2008,121,293
Coastal,Buffalo,2008,121,293
Inland,Jamestown,2005,125,293
Inland,Warren (OH),2005,126,293
